service_id,route_id,trip_id,direction_id,trip_headsign,block_id,shape_id
SA,RED,SA_103525,0,L. B. Nagar,SA_10101,RED1
SA,RED,SA_103527,0,L. B. Nagar,SA_10201,RED1
SA,RED,SA_103529,0,L. B. Nagar,SA_10301,RED1
SA,RED,SA_103531,0,L. B. Nagar,SA_10401,RED1
SA,RED,SA_103533,0,L. B. Nagar,SA_10501,RED1
SA,RED,SA_103535,0,L. B. Nagar,SA_10601,RED1
SA,RED,SA_103537,0,L. B. Nagar,SA_10701,RED1
SA,RED,SA_103539,0,L. B. Nagar,SA_10801,RED1
SA,RED,SA_103541,0,L. B. Nagar,SA_10901,RED1
SA,RED,SA_103542,1,Miyapur,SA_10901,RED2
SA,RED,SA_103543,0,L. B. Nagar,SA_11001,RED1
SA,RED,SA_103544,1,Miyapur,SA_11001,RED2
SA,RED,SA_103550,1,Miyapur,SA_10101,RED2
SA,RED,SA_104418,1,Miyapur,SA_10201,RED2
SA,RED,SA_104419,1,Miyapur,SA_10301,RED2
SA,RED,SA_104421,1,Miyapur,SA_10501,RED2
SA,RED,SA_104422,1,Miyapur,SA_10601,RED2
SA,RED,SA_104423,1,Miyapur,SA_10701,RED2
SA,RED,SA_104424,1,Miyapur,SA_10801,RED2
SA,RED,SA_104426,1,Miyapur,SA_10401,RED2
SA,RED,SA_110851,1,Miyapur,SA_11901,RED2
SA,RED,SA_113409,0,L. B. Nagar,SA_10401,RED1
SA,RED,SA_113410,1,Miyapur,SA_10401,RED2
SA,RED,SA_113411,0,L. B. Nagar,SA_11501,RED1
SA,RED,SA_113412,1,Miyapur,SA_11501,RED2
SA,RED,SA_113413,0,L. B. Nagar,SA_10501,RED1
SA,RED,SA_113414,1,Miyapur,SA_10501,RED2
SA,RED,SA_113415,0,L. B. Nagar,SA_11601,RED1
SA,RED,SA_113416,1,Miyapur,SA_11601,RED2
SA,RED,SA_113417,0,L. B. Nagar,SA_11701,RED1
SA,RED,SA_113418,1,Miyapur,SA_11701,RED2
SA,RED,SA_113419,0,L. B. Nagar,SA_11801,RED1
SA,RED,SA_113420,1,Miyapur,SA_11801,RED2
SA,RED,SA_113421,0,L. B. Nagar,SA_10701,RED1
SA,RED,SA_113422,1,Miyapur,SA_10701,RED2
SA,RED,SA_113423,0,L. B. Nagar,SA_11901,RED1
SA,RED,SA_113424,1,Miyapur,SA_11901,RED2
SA,RED,SA_113425,0,L. B. Nagar,SA_10801,RED1
SA,RED,SA_113426,1,Miyapur,SA_10801,RED2
SA,RED,SA_113427,0,L. B. Nagar,SA_12001,RED1
SA,RED,SA_113428,1,Miyapur,SA_12001,RED2
SA,RED,SA_113429,0,L. B. Nagar,SA_12101,RED1
SA,RED,SA_113430,1,Miyapur,SA_12101,RED2
SA,RED,SA_113431,0,L. B. Nagar,SA_12201,RED1
SA,RED,SA_113432,1,Miyapur,SA_12201,RED2
SA,RED,SA_113433,0,L. B. Nagar,SA_11001,RED1
SA,RED,SA_113434,1,Miyapur,SA_11001,RED2
SA,RED,SA_113435,0,L. B. Nagar,SA_11101,RED1
